title,simple_first_paragraph,en_first_paragraph,main_category,main_topic,ores_topics,llama_score,llama_retained,llama_lost,mistral_score,mistral_retained,mistral_lost,gemma_score,gemma_retained,gemma_lost,page_id,revid
corpus juris civilis,The '''Corpus Iuris Civilis''' (sometimes also called '''Corpus Juris Civilis''') is a collection of laws regarding Roman Iustinan I. After the fall of the Roman empire it was mostly forgotten. It was rediscovered in the 11th century. During the Middle Ages it was an important source of civil law for most countries in Europe.,"The '''''Corpus Juris''''' (or '''''Iuris''''') '''''Civilis''''' (""Body of Civil Law"") is the modern name for a collection of fundamental works in jurisprudence, enacted from 529 to 534 by order of Byzantine Emperor Justinian I. It is also sometimes referred to metonymically after one of its parts, the Code of Justinian.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Linguistics', 'History and Society.Politics and government']",67.0,"['The Corpus Juris is a collection of laws,         It was enacted by Byzantine Emperor Justinian I,         It is also sometimes referred to as the Code of Justinian,         It deals with Roman civil law']","['The works were enacted from 529 to 534,         It is the modern name for a collection of fundamental works in jurisprudence,         The Corpus Juris Civilis is the full title (in Latin),         The rediscovery and importance during Middle Ages are mentioned only briefly']",50.0,"['Corpus Iuris Civilis is a collection of laws regarding Roman Iustinan I.', 'It was rediscovered in the 11th century.']","['The Corpus Juris (or Iuris Civilis Civile) is the modern name for a collection of fundamental works in jurisprudence, enacted from 529 to 534 by order of Byzantine Emperor Justinian I.', 'It is also sometimes referred to metonymically after one of its parts, the Code of Justinian.']",80.0,"['Corpus Iuris Civilis is a collection of laws regarding Roman Justinian I.', 'It was rediscovered in the 11th century and was an important source of civil law for most countries in Europe during the Middle Ages.']","['Modern name of the collection', 'Enacted period', 'Referred to after a specific part', 'Original title of the collection']",2025628,174895203.0
ben nighthorse campbell,"'''Ben Nighthorse Campbell''' (born April 13, is a CheyenneAmerican politician. He was a U.S. Representative from 1987 to 1993, and a U.S. Senator from Democratic Party, until Campbell switched to the Republican Party on March 3,","'''Ben Nighthorse Campbell''' (born April 13, is a Native American politician and Air Force veteran who served in both chambers of the Council of Chiefs of the Northern Cheyenne Indian Tribe. During his time in office, he was the only Native American serving in Congress. He was the last Native American elected to the U.S. Senate until the 2022 election of Cherokee Markwayne Mullin.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Americas.North America', 'History and Society.Politics and government']",60.0,"['Ben Nighthorse Campbell is a Native American politician', 'He was born on April 13', 'He served as a U.S. Representative from 1987 to 1993']","['Campbell served in both chambers of the Council of Chiefs of the Northern Cheyenne Indian Tribe', 'He was the only Native American serving in Congress at some point during his time in office', 'He switched parties from Democratic Party to Republican Party on March 3', 'The last Native American elected to the U.S. Senate until the 2022 election of Cherokee Markwayne Mullin']",50.0,"['Ben Nighthorse Campbell was born on April 13', 'Ben Nighthorse Campbell served as a U.S. Senator']","['Ben Nighthorse Campbell is a Native American politician and Air Force veteran who served in both chambers of the Council of Chiefs of the Northern Cheyenne Indian Tribe.', 'During his time in office, he was the only Native American serving in Congress.', 'He was the last Native American elected to the U.S. Senate until the 2022 election of Cherokee Markwayne Mullin.']",71.0,"['Born date: April 13', 'Native American politician']","['Air Force veteran', 'Served in both chambers of the Council of Chiefs', 'Only Native American in Congress', 'Party affiliation change and date', 'Details about Native American election history']",339185,1283527215.0
privy council,The '''Privy Council''' is a group of advisors to a Monarch.,"A '''privy council''' is a body that advises a monarchical government. The term ""privy"" (from French ''privé'') signifies private or secret. Consequently, a privy council, more common in the past, existed as a group of a ruling monarch's most trusted court advisors. Its purpose was to consistently provide confidential advice on matters of state. Despite the abolition of monarchy, some privy councils remained operational, while others were individually disbanded, allowing the monarchical system to continue to exist without a secret crown council.",History and Society,History and Society.Politics and government,['History and Society.Politics and government'],63.0,"['The Privy Council is a group of advisors.', 'It advises a Monarch.', ""A ruling monarch's most trusted court advisors are part of a privy council.""]","[""The term 'privy' signifies private or secret."", ""A privy council existed as a group of a ruling monarch's most trusted court advisors."", 'Their purpose was to consistently provide confidential advice on matters of state.', 'Some privy councils remained operational, while others were individually disbanded.']",50.0,"['The Privy Council is a group of advisors to a Monarch.', ""The term 'privy' signifies private or secret.""]","['A privy council advises a monarchical government.', ""Consequently, a privy council, more common in the past, existed as a group of a ruling monarch's most trusted court advisors."", 'Its purpose was to consistently provide confidential advice on matters of state.', 'Despite the abolition of monarchy, some privy councils remained operational, while others were individually disbanded, allowing the monarchical system to continue to exist without a secret crown council.']",66.67,"['The Privy Council is a group of advisors to a Monarch.', 'Its purpose was to consistently provide confidential advice on matters of state.']","[""The term 'privy' signifies private or secret."", 'Despite the abolition of monarchy, some privy councils remained operational.']",652321,1286776281.0
sol davis,'''Solomon Sebastian Davis''' (born 4 September is an English Arlesey Town. He began his career at Swindon Town.,'''Sol Sebastian Davis''' (born 4 September is an English footballer who plays for Arlesey Town.,Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Sports', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Northern Europe']",40.0,"['Born on September 4', 'Plays for Arlesey Town']","[""Full name is 'Sol Sebastian Davis'"", 'Started his career at Swindon Town']",50.0,"['Solomon Sebastian Davis', 'born on 4 September', 'plays for Arlesey Town']","['Sol Sebastian Davis (born 4 September)', 'He began his career at Swindon Town']",80.0,"['Born date: 4 September', 'Nationality: English', 'Current team: Arlesey Town']","['Beginnings at Swindon Town', 'Formal name: Solomon Sebastian Davis']",2875904,1266443289.0
symphony x,"'''Symphony X''' are an American progressive metal band from Middletown, New Jersey.",Symphony No. 10their selftitled debut albumSymphony X (album),Geography,Geography.Regions.Asia.Asia*,"['Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.South Asia']",62.0,"['The band is American', 'They are a progressive metal band', 'Location: Middletown, New Jersey']","['The debut album is self-titled', ""The debut album is called 'Symphony No. 10'"", ""No mention of the album's significance or details""]",75.0,"['American progressive metal band', 'Origin from Middletown, New Jersey.']","['Symphony No. 10 (possibly a title or work related to the band)', 'their self-titled debut album']",66.0,"['Symphony X are an American progressive metal band', 'From Middletown, New Jersey']","['Their self-titled debut album', 'Symphony No. 10']",326457,784021684.0
hunger strike,"A '''hunger strike''' is a way that people not eating. Many people have done this to get people's attention, especially the attention of leaders.",", Poland, in 2017, protesting the planned incorporation of their community to the city of Opole",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Northern Europe', 'History and Society.Politics and government']",43.0,"[""Many people have done this to get people's attention"", 'People not eating is a form of protest']","['Location: Poland, in 2017, protesting the planned incorporation of their community to the city of Opole', 'Specific context of the hunger strike (community being incorporated into the city of Opole)']",33.33,['hunger strike'],"['Poland', 'protesting the planned incorporation of their community to the city of Opole']",60.0,"['A hunger strike is a way people not eating.', 'People have done this to get attention.']","['Poland', '2017', 'Protesting the planned incorporation of their community to the city of Opole']",222292,1283965947.0
40th g7 summit,"The '''40th G8 summit''' was held in Brussels on June 4–5, It was originally going to be held at the Black Sea resort of Sochi, Russia.",The '''40th G7 summit''' was held 4–5 June 2014 in annexation of Crimea and the remaining members chose to hold the summit instead in Brussels.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'History and Society.Politics and government', 'History and Society.Society']",67.0,"['The 40th G7/G8 summit was held on June 4-5.', 'The original location was changed from Sochi, Russia to Brussels.']","['The annexation of Crimea was mentioned in the English Wikipedia version.', 'The remaining members chose to hold the summit instead in Brussels (mentioned only in English Wikipedia)']",50.0,"['The summit was the 40th G8 (or G7 without Russia) summit.', 'The summit took place on June 4–5.']","['The location of the original intended summit was at Sochi, Russia.', 'The remaining members chose to hold the summit instead in Brussels due to annexation of Crimea by Russia.']",80.0,"['The 40th G8 summit was held in Brussels.', 'It was originally going to be held at the Black Sea resort of Sochi, Russia.']","['The summit was held in annexation of Crimea', 'The remaining members chose to hold the summit instead in Brussels.']",39721479,1273423099.0
clinical psychology,"'''Clinical psychology''' is the study in psychology of mental disorders. It is about learning, understanding, diagnosing, treating or preventing these types of illnesses. Clinical psychologists examine the mental functioning of a person and use psychotherapy to treat the disorder. Psychotherapy uses talking instead of medical or physical treatments.","'''Clinical psychology''' is an integration of human science, behavioral science, theory, and clinical knowledge for the purpose of understanding, preventing, and relieving psychologicallybased distress or dysfunction and to promote subjective wellbeing and personal development. Central to its practice are psychological assessment, mental health profession.",STEM,STEM.STEM*,"['STEM.Medicine & Health', 'STEM.STEM*']",67.0,"['Clinical psychology is about understanding, preventing, and relieving psychologically-based distress or dysfunction.', 'It is about promoting subjective wellbeing and personal development.', 'Clinical psychologists examine the mental functioning of a person.', 'Psiychotherapy uses talking instead of medical or physical treatments.']","['The integration of human science, behavioral science, theory, and clinical knowledge', 'The purpose of understanding, preventing, and relieving psychologically-based distress or dysfunction is to promote subjective wellbeing and personal development', 'The central practice involves psychological assessment and mental health profession']",50.0,"['The practice of clinical psychology includes psychological assessment.', 'Clinical psychologists use psychotherapy to treat disorders.']","['Clinical psychology is an integration of human science, behavioral science, theory, and clinical knowledge.', 'Central to its practice are mental health professionals.', 'The purpose of clinical psychology is understanding, preventing, and relieving psychologically-based distress or dysfunction and promoting subjective wellbeing and personal development.']",66.0,"['Clinical psychology is about learning and understanding mental disorders.', 'Clinical psychologists use psychotherapy to treat disorders.']","['Integration of human science, behavioral science, theory, and clinical knowledge', 'Purpose of understanding, preventing, and relieving distress', 'Promoting subjective wellbeing and personal development', 'Psychological assessment', 'Mental health profession']",492271,1288109158.0
leader of the opposition (scotland),"The '''Leader of the Opposition''' is an informal term given to the leader of the largest party not in government in the Scottish Parliament. Since 6 May 2021, this has been Douglas Ross of the Scottish Conservative Party.",In the government. This leader has also been referred to as the Shadow First Minister.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Northern Europe', 'History and Society.Politics and government']",80.0,"['Informal term given to the leader', 'Largest party not in government', 'Scottish Parliament', 'Douglas Ross as Leader', 'Since 6 May 2021']",['This leader has also been referred to as the Shadow First Minister'],75.0,"['The Leader of the Opposition is an informal term given to the leader of the largest party not in government in the Scottish Parliament.', 'Since 6 May 2021, this has been Douglas Ross of the Scottish Conservative Party.']","[""The term 'Leader of the Opposition' is used specifically for the leader of the largest party not in government in the Scottish Parliament. This is different from its usage in the UK Parliament or other parliamentary systems."", ""The term 'Shadow First Minister' is sometimes used to refer to this leader, particularly in other contexts.""]",66.67,"['Leader of the Opposition is an informal term', 'Leader of the largest party not in government in the Scottish Parliament']","['Government position', 'Shadow First Minister']",66027629,1281686108.0
1915 çanakkale bridge,"The '''1915 Çanakkale Bridge''' (), also known as the '''Dardanelles Bridge''' (), is a road Province of Çanakkale in northwestern Turkey. It is south of the towns of Lapseki and Gelibolu. The bridge is on the Dardanelles strait. It is about south of the Sea of Marmara.","The '''1915 Çanakkale Bridge''' () is a road Çanakkale in northwestern Turkey. Situated just south of the coastal towns of Lapseki and Gelibolu, the bridge spans the Dardanelles, about south of the Sea of Marmara.",Geography,Geography.Regions.Asia.Asia*,"['Culture.Visual arts.Architecture', 'Culture.Visual arts.Visual arts*', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.West Asia']",80.0,"['The bridge is located in Province of Çanakkale, northwestern Turkey.', 'The bridge spans the Dardanelles strait.', 'The bridge is approximately south of the Sea of Marmara.', 'The towns of Lapseki and Gelibolu are located near the bridge.']","['The exact location of the bridge relative to the coastal towns of Lapseki and Gelibolu.', ""The specific measurement 'about south of the Sea of Marmara'.""]",90.0,"['The 1915 Çanakkale Bridge is located in the Province of Çanakkale in northwestern Turkey.', 'It spans the Dardanelles.']","['The 1915 Çanakkale Bridge is also known as the Dardanelles Bridge.', 'The bridge is south of the towns of Lapseki and Gelibolu.', 'It is about south of the Sea of Marmara.']",80.0,"['The 1915 Çanakkale Bridge is a road bridge in the Province of Çanakkale, northwestern Turkey.', 'It is south of the towns of Lapseki and Gelibolu.']","['The bridge spans the Dardanelles', 'The bridge is about south of the Sea of Marmara']",38225472,1278643982.0
neelam gorhe,'''Neelam Gorhe''' is an Indian politician and deputy leader of Shiv Sena from Maharashtra. She is 13th and currently Deputy Chairperson of Maharashtra Legislative Council and a member of Maharashtra Legislative Council.,'''Neelam Gorhe''' is an Indian politician and deputy leader of Shiv Sena from Chairman of Maharashtra Legislative Council on 07 July 2022 to 16 December,Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.South Asia']",67.0,"['Neelam Gorhe is an Indian politician', 'She is a member of Shiv Sena', 'She is Deputy Chairperson of Maharashtra Legislative Council']","['Chairman of Maharashtra Legislative Council on 07 July 2022 to 16 December', '13th and currently Deputy Chairperson of Maharashtra Legislative Council']",75.0,"['Indian politician', 'deputy leader of Shiv Sena', 'member of Maharashtra Legislative Council']","['13th Deputy Chairperson of Maharashtra Legislative Council', 'Chairman of Maharashtra Legislative Council on 07 July 2022 to 16 December']",80.0,"['Neelam Gorhe is an Indian politician and deputy leader of Shiv Sena.', 'She is the 13th and currently Deputy Chairperson of Maharashtra Legislative Council.']","['Chairman of Maharashtra Legislative Council', 'Date of appointment: 07 July 2022 to 16 December']",48567758,1285491993.0
agarn,'''Agarn''' (Leuk in the canton of Valais in Switzerland.,'''Agarn''' (municipality in the district of Leukin the Germanspeaking part of the canton of Valais in Switzerland.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",80.0,"['Agarn is a municipality', 'Located in Switzerland', 'Part of the canton of Valais']","['Germanspeaking part of the canton', 'Leuk district mention', 'Specific location details (municipality in the district)']",75.0,"['Agarn is a municipality', 'Agarn is in the canton of Valais, Switzerland']","['Agarn is in the district of Leuk (the Germanspeaking part)', ""The simple English version refers to Agarn as 'Leuk'.""]",80.0,['Leuk in the canton of Valais in Switzerland'],"['the Germanspeaking part', 'district of Leukin']",5620984,1285290981.0
saab 9-5,"The '''Saab 95''' is a 9000, and it is now in its Second generation.",The '''Saab 95''' is an Swedish automobile maker Saab from 1997 to,STEM,STEM.STEM*,"['History and Society.Transportation', 'STEM.Engineering', 'STEM.STEM*']",41.1,"['The article is about Saab 95.', ""It's a car model produced by Swedish manufacturer Saab."", ""The term 'Second generation' indicates that there might be multiple generations of this car model.""]","['The exact time period during which the Saab 95 was produced (from 1997 to ???) is missing from the Simple English version.', ""Any specific details about the car's features, specifications, or performance are not mentioned in the Simple English version.""]",0.0,[],"[""The '''Saab 95''' is an Swedish automobile maker Saab"", ""The 'Saab 95' is from the year 1997""]",66.67,"['The Saab 95 is a 9000.', 'It is now in its Second generation.']","['The Saab 95 is an Swedish automobile maker Saab', 'From 1997 to ...', 'Reason for generation change not mentioned']",331097,1288726135.0
brétigny-sur-orge train crash,"On 12 July 2013, a train crashed in Brétigny railway station, in BrétignysurOrge. Bretigny is from Paris in ÎledeFrance. The train was a service from Paris to Limoges. Six people are confirmed dead, 30 are injured, eight of them in a critical state. Of the six dead, two were killed in the railway station, two are from Limoges, and two from Étampes. 385 passengers were on board at the time of the crash. The crash occurred at 17:14 local time, 22 minutes after the train left Austerlitz station at 16:If the train had been on schedule, it would have arrived in Limoges at 20:The trains and platforms at Brétigny were very busy as it was the Friday before the Bastille Day holiday weekend.","On 12 July 2013, a train crash in the commune of passenger train carrying 385 people derailed and hit the station platform.",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe', 'History and Society.Transportation']",72.73,"['Date and time of the train crash', 'Number of passengers on board', 'Location of the crash', 'Extent of damage', 'Casualties', ""Details about the train's origin and destination""]","['Cause of the crash', 'Description of the train as a passenger train', 'Time difference between departure from Austerlitz station and arrival at Brétigny railway station']",50.0,"['The train crash occurred on 12 July 2013.', 'Bretigny is from Paris in Île-de-France.']","['The train was a passenger train carrying 385 people.', 'The train derailed and hit the station platform.', 'Six people are confirmed dead, 30 are injured, eight of them in a critical state. Of the six dead, two were killed in the railway station, two are from Limoges, and two from Étampes.', 'The crash occurred at 17:14 local time, 22 minutes after the train left Austerlitz station at 16:If the train had been on schedule, it would have arrived in Limoges at 20:', 'The trains and platforms at Brétigny were very busy as it was the Friday before the Bastille Day holiday weekend.']",89.0,"['Date of crash: 12 July 2013', 'Number of passengers: 385', 'Location of crash: Brétigny railway station', 'Cause of crash: derailment']","['Number of casualties: 6 dead, 30 injured', ""Casualties' locations: two from Limoges, two from Étampes"", 'Train origin: Paris', 'Train destination: Limoges', 'Time of crash: 17:14 local time', 'Estimated arrival time in Limoges: 20:00', 'Level of injury: eight critical']",39946287,1273252180.0
santacon,SantaCon is a convention made to commemorate Santa Claus and Christmas. Starting in 2005 there has been many conventions.,"'''SantaCon''' is an annual pub crawl The event has sometimes been characterized by drunken behavior, sparking community resistance. Staged as street theater by a local prankster group, the Cacophony Society — the aim was to make fun of Christmas and the rampant consumerism associated with the holiday. Originally called Santarchy and influenced by the Surrealist movement, Discordianism, and other subversive art currents, it was not intended to be a recurrent event.",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],45.0,"['SantaCon is a convention', 'It commemorates Santa Claus and Christmas', 'The event started in 2005']","['Original purpose of the event was to make fun of Christmas and consumerism', 'Event was staged as street theater by the Cacophony Society', 'Influences from Surrealist movement, Discordianism, and other subversive art currents', 'Event was not intended to be recurrent']",25.0,"['SantaCon is a convention commemorating Santa Claus and Christmas.', 'Starting in 2005, there have been many conventions.']","[""'SantaCon' is an annual pub crawl."", 'The event has sometimes been characterized by drunken behavior, sparking community resistance.', 'Staged as street theater by a local prankster group, the Cacophony Society — the aim was to make fun of Christmas and the rampant consumerism associated with the holiday.', 'Originally called Santarchy and influenced by the Surrealist movement, Discordianism, and other subversive art currents, it was not intended to be a recurrent event.']",40.0,"['SantaCon is a convention made to commemorate Santa Claus and Christmas.', 'It started in 2005.']","['The event has sometimes been characterized by drunken behavior.', 'Staged as street theater by a local prankster group.', 'The aim was to make fun of Christmas and the rampant consumerism associated with the holiday.', 'Originally called Santarchy and influenced by the Surrealist movement, Discordianism, and other subversive art currents, it was not intended to be a recurrent event.']",392056,1286091846.0
asnières-sous-bois,'''AsnièressousBois''' is a commune. It is found in the department in the center of France.,'''AsnièressousBois''' () is a commune in the department in BourgogneFrancheComté in northcentral France.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",50.0,"['The commune is named AsnièressousBois.', 'It is located in France.']","['The department where the commune is located is specified as BourgogneFrancheComté.', ""The exact location of the commune within France is described as 'northcentral'.""]",50.0,"['AsnièressousBois is a commune', 'It is found in the department']","['AsnièressousBois is a commune in the department in Bourgogne-Franche-Comté', 'in northcentral France']",80.0,"['It is a commune.', 'It is found in the department.']","['Department name: BourgogneFrancheComté', 'Location: Northcentral France']",15673975,1287719883.0
henk wesseling,'''Henk Wesseling''' (6 August 1937 – 18 August was a Dutch historian. He was a rector of the Netherlands Institute for Advanced Study between 1995 and He was born in The Hague.,'''Henk Wesseling''' (6 August 1937 – 18 August was a Dutch historian. He was a professor of contemporary history at rector of the Netherlands Institute for Advanced Study between 1995 and,Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",85.0,"['Henk Wesseling was a Dutch historian', 'He was born on 6 August 1937', 'He died on 18 August (date not specified in Simple English version)', 'He was rector of the Netherlands Institute for Advanced Study between 1995 and']",['Henk Wesseling was a professor of contemporary history (lost in Simple English version)'],50.0,"['Henk Wesseling was a Dutch historian.', 'He was born in The Hague.']","['Henk Wesseling was a professor of contemporary history.', 'He was the rector of the Netherlands Institute for Advanced Study between 1995 and his death.']",80.0,"['Henk Wesseling was a Dutch historian.', 'He was a rector of the Netherlands Institute for Advanced Study between 1995 and']","['Born in The Hague.', 'Date of birth: 6 August 1937']",13325630,1263575565.0
colombian football federation,The '''Colombian Football Federation''' () is the governing body of football in men's and women's national teams. The association was founded on 12 October It is headquartered in Barranquilla.,The '''Colombian Football Federation''' (in ) is the governing body of association football in Colombia. The organization was founded in 1924 and has been affiliated with FIFA since It is a member of CONMEBOL and in charge of the Colombia national football team and the Colombia women's national football team.,Culture,Culture.Sports,"['Culture.Sports', 'Geography.Regions.Americas.South America']",67.0,"['The Colombian Football Federation is the governing body of football', 'It was founded on a specific date (12 October)', 'It is headquartered in Barranquilla']","['FIFA affiliation information is missing', 'CONMEBOL membership information is absent', ""The mention of the Colombia national football team and the Colombia women's national football team is dropped""]",50.0,"[""The Colombian Football Federation is the governing body of football in men's and women's national teams."", 'The association was founded on 12 October.']","['The organization is headquartered in Barranquilla.', 'The organization was founded in 1924.', 'The Colombian Football Federation (CFF) is the governing body of association football in Colombia.', ""The CFF has been affiliated with FIFA since It is a member of CONMEBOL and in charge of the Colombia national football team and the Colombia women's national football team.""]",75.0,"['The Colombian Football Federation is the governing body of association football in Colombia.', 'The organization was founded in 1924.']","['It is affiliated with FIFA', 'It is a member of CONMEBOL', ""It is in charge of the Colombia national football team and the Colombia women's national football team"", 'It is headquartered in Barranquilla']",5223285,1285399965.0
fallacy of composition,"A '''fallacy of composition''' is a fallacy where on believes that if something is true for part of something else, then it must be true for the whole. For example, if sodium (Na) and chlorine (Cl) are dangerous for humans, then table salt (NaCl) must also be dangerous for humans.","The '''fallacy of composition''' is an infers that something is true of the whole from the fact that it is true of some part of the whole. A trivial example might be: ""This tire is made of rubber; therefore, the vehicle of which it is a part is also made of rubber."" This is fallacious, because vehicles are made with a variety of parts, most of which are not made of rubber. The fallacy of composition can apply even when a fact is true of every alive. Therefore, nothing made of atoms is alive."" This statement is incorrect, due to emergence, where the whole possesses properties not present in any of the parts.",Culture,Culture.Media.Media*,"['Culture.Biography.Women', 'Culture.Food and drink', 'Culture.Literature', 'Culture.Media.Media*', 'Culture.Media.Music', 'Culture.Media.Video games', 'Culture.Visual arts.Visual arts*', 'Geography.Geographical', 'Geography.Regions.Africa.Central Africa', 'Geography.Regions.Americas.South America', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Europe.Eastern Europe', 'History and Society.History', 'History and Society.Politics and government', 'History and Society.Society', 'STEM.Computing', 'STEM.Physics', 'STEM.STEM*']",60.0,"['This fallacy is an error where something is true of the whole from being true of a part.', 'The fallacy can apply even when a fact is true of every part.', ""A trivial example might be: 'This tire is made of rubber; therefore, the vehicle of which it is a part is also made of rubber.'""]","[""The phrase 'a variety of parts' is not mentioned in the Simple English version."", 'The concept of emergence and how the whole can possess properties not present in any of its parts is missing.', 'The specific example about atoms being true for every part but not necessarily for the whole is lost.']",50.0,"['A fallacy of composition is a fallacy where one believes that if something is true for part of something else, then it must be true for the whole.']","['The fallacy of composition can apply even when a fact is true of every alive. Therefore, nothing made of atoms is alive.', ""The term 'emergence' and its relevance to the fallacy of composition""]",66.67,"['A fallacy of composition is the belief that something is true of the whole from the fact that it is true of some part of the whole.', 'For example, if sodium and chlorine are dangerous for humans, then table salt must also be dangerous for humans.']","['The fallacy of composition can apply even when a fact is true of every alive. Therefore, nothing made of atoms is alive.', ""Trivial example: 'This tire is made of rubber; therefore, the vehicle of which it is a part is also made of rubber.'""]",36874592,527137632.0
"glenns ferry, idaho",'''Glenns Ferry''' is a city in Idaho in the United States.,"'''Glenns Ferry''' is a city in Elmore County, 2020 census. The city is adjacent to Interstate 84 and the Snake River.",Geography,Geography.Regions.Americas.North America,['Geography.Regions.Americas.North America'],40.0,"['Glenns Ferry is a city.', ""It's located in Idaho, United States.""]","['The city has an Interstate 84 adjacent to it (not mentioned).', 'The Snake River is also not mentioned as being nearby.', 'The 2020 census information is not retained.']",100.0,"['Glenns Ferry is a city in Idaho in the United States.', 'Glenns Ferry is adjacent to Interstate 84 and the Snake River.']",[],66.67,"['Glenns Ferry is a city in Idaho in the United States.', 'The city is adjacent to Interstate 84 and the Snake River.']","['Elmore County', '2020 census']",110678,1285509534.0
lawrence public library,"In 1863, the library burned in Quantrill's Raid. A new library was built in","In 1863 the library suffered the fate of many of the city's buildings and burned to the ground as William Quantrill attacked the city, in an event known as the Lawrence massacre. A new library was reorganized the year following out of the house of J. S. Boughton and monies were quickly raised for the construction of a new building. By 1866 a library association was created and a lease on a newly constructed building allowed the library collection a new home.",Geography,Geography.Regions.Americas.North America,"['Geography.Regions.Americas.North America', 'STEM.Libraries & Information', 'STEM.STEM*']",67.0,"['In 1863, the library burned', ""The event was known as Quantrill's Raid""]","[""A new library was reorganized out of J. S. Boughton's house and monies were raised for a new building"", 'The library association was created by 1866 and a lease on a newly constructed building allowed the collection a new home']",0.0,[],"[""The library suffered the fate of many of the city's buildings and burned to the ground as William Quantrill attacked the city, in an event known as the Lawrence massacre."", 'A new library was reorganized the year following out of the house of J. S. Boughton and monies were quickly raised for the construction of a new building.', 'By 1866 a library association was created and a lease on a newly constructed building allowed the library collection a new home.']",80.0,"['In 1863, the library burned.', 'A new library was built.']","[""Quantrill's Raid was the event that caused the fire."", 'The library association was created in 1866 and leased a new building for the collection.']",18696552,1277877701.0
hold back the dawn,"'''''Hold Back the Dawn''''' is a 1941 American romantic drama movie directed by Mitchell Leisen and was based on the 1940 novel of the same name by Ketti Frings. It stars Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel, Curt Bois, Eva Puig and was distributed by Paramount Pictures. It was nominated for 6 Academy Awards in","'''''Hold Back the Dawn''''' is a 1941 American romantic drama film directed by Mitchell Leisen, in which a Romanian gigolo marries an American woman in Mexico in order to gain entry to the United States, but winds up falling in love with her. It stars Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel, Curt Bois, Rosemary DeCamp, and an uncredited Veronica Lake.",Culture,Culture.Media.Media*,"['Culture.Media.Films', 'Culture.Media.Media*']",71.0,"['Cinema film directed by Mitchell Leisen', '1941 American romantic drama movie', 'Stars Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel, Curt Bois (Eva Puig in Simple English)', 'Based on novel of the same name by Ketti Frings', 'Distributed by Paramount Pictures']","[""Mexico setting for the film's plot"", 'The Romanian gigolo character and his motivations', ""Veronica Lake's uncredited appearance in the film""]",80.0,"['The film is a romantic drama directed by Mitchell Leisen.', 'It is based on the 1940 novel of the same name by Ketti Frings.', 'It stars Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel, Curt Bois, Eva Puig.', 'The film was distributed by Paramount Pictures.']","['The film is about a Romanian gigolo who marries an American woman in Mexico to gain entry to the United States, but winds up falling in love with her.', 'It was nominated for 6 Academy Awards.']",80.0,"['Title of the movie', 'Director', 'Main stars', 'Release year']","['Novel basis', 'Number of Academy Award nominations']",77604,1278867363.0
maxi rodríguez,'''Maxi Rodríguez''' (born 2 January is a former Argentine football player.,"'''Maximiliano Rubén Rodríguez''' (; born 2 January , is an Argentine former professional footballer. Nicknamed ''La Fiera'' (''The Beast'' in English), he was commonly used as a winger on both flanks but could also operate as an attacking midfielder.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Sports', 'Geography.Regions.Americas.South America']",40.0,[],[],50.0,"['Maxi Rodríguez is a former Argentine football player.', 'Maxi Rodríguez was born on 2 January']","['Maximiliano Rubén Rodríguez is the full name of Maxi Rodríguez', ""Nicknamed ''La Fiera'' (''The Beast'' in English)"", ""'Maxi' is commonly used as a winger on both flanks but could also operate as an attacking midfielder""]",66.0,"['Born date: 2 January', 'Former Argentine footballer']","['Nickname: La Fiera', 'Position: Winger/Attacking midfielder', 'Additional details about playing style']",4812555,1285308000.0
